@relation cepstral_vec_all.txt-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute ' sex' {' female',' male'}
@attribute ' dim1' numeric
@attribute ' dim2' numeric
@attribute ' dim3' numeric
@attribute ' dim4' numeric
@attribute ' dim5' numeric
@attribute ' dim6' numeric
@attribute ' dim7' numeric
@attribute ' dim8' numeric
@attribute ' dim9' numeric
@attribute ' dim10' numeric
@attribute ' dim11' numeric
@attribute ' dim12' numeric
@attribute ' dim13' numeric

@data
' female',98.177737,-9.199435,-3.098581,-13.413382,5.366413,-12.466964,-15.934646,-1.605437,-16.586214,-8.894361,11.866044,44.510816,22.656058
' female',86.60366,3.244704,-3.90824,-13.333223,-2.068209,-8.586979,-12.461821,-10.444462,-17.826686,-11.614404,14.032925,27.573217,40.605905
' female',88.710066,4.569612,-0.49107,-10.560933,-0.91749,-0.5115,-11.111427,-17.914261,-10.304773,-18.916705,4.225986,-24.698605,-10.236369
' female',86.235282,2.97645,-0.423413,-10.041774,-3.949017,-8.838173,-11.770953,-12.882762,-10.826965,-16.855437,-7.324869,-6.186454,36.753593
' female',86.058346,2.645051,1.400051,-7.622857,-4.521514,-7.481637,-12.216065,-12.972674,-10.844737,-19.42842,-2.887299,-17.116402,18.190743
' female',85.994419,7.971508,1.273688,-8.424107,-3.645926,-2.008868,-8.430772,-13.810162,-7.175401,-18.474872,1.959111,-18.440503,-6.799228
' female',98.70782,-8.835899,-5.026332,-13.810403,10.120821,-14.985276,-8.396129,-8.916085,-8.287791,-8.434304,-21.908369,10.397808,35.91161
' female',102.604675,-7.465988,-4.109182,-14.69549,8.829649,-15.24824,-8.495383,-8.723462,-11.662884,-2.581722,-19.545136,-15.106325,1.719359
' female',103.616964,-4.162552,-4.96395,-15.843285,6.799221,-10.619618,-9.490685,-6.640166,-4.479744,0.370767,-17.092843,-12.376461,-4.923751
' female',103.816598,-6.27119,-5.972964,-15.086691,7.353886,-12.745827,-7.344767,-8.137681,-7.639261,-2.02386,-16.698506,-15.002646,-13.746449
' female',102.10174,-0.441804,-4.786032,-18.095459,6.851754,-6.801568,-6.468952,-12.314921,-6.618731,3.65951,-13.170271,-11.469701,-9.960131
' female',96.878979,-12.629981,11.547739,4.114834,-17.720961,-9.474017,-6.411294,-14.829528,-3.974369,-23.080334,-7.027377,-13.737675,4.152946
' female',97.434553,-13.073407,10.46144,2.942448,-16.748566,-9.304818,-6.069616,-17.813239,-4.147824,-21.18969,-8.29024,-7.421854,14.7587
' female',98.17507,-12.540764,13.059796,3.739403,-15.55274,-8.444551,-9.179574,-12.533896,2.246933,-21.673887,-6.238742,-22.983077,-7.897954
